NumeroProveedor,Platillo,Description,tokens,CategoryId,SubcategoryId
1,Panini Maoli ,"Pechuga de pollo sazonada, tocino, espinacas, mix de  quesos, aderezo mayonesa´ chipotle ","['panini', 'maoli', 'pechuga', 'pollo', 'sazonada', 'tocino', 'espinacas', 'mix', 'quesos', 'aderezo', 'mayonesa´', 'chipotle']",10,50
3,Desayuno imperial,"Delicioso platillo combinado que incluye: huevos al gusto, 2 piezas de salchicha de carne, 2 piezas de hot cakes, 1 porción de papa hash brown y 2 rebanadas de tocino. ","['desayuno', 'imperial', 'delicioso', 'platillo', 'combinado', 'incluye', 'huevos', 'gusto', 'piezas', 'salchicha', 'carne', 'piezas', 'hot', 'cakes', 'porción', 'papa', 'hash', 'brown', 'rebanadas', 'tocino']",16,21
4,Paquete de 3 gordas,De masa blanca o negra,"['paquete', 'gordas', 'masa', 'blanca', 'negra']",1,13
1,Mexican Sandwich ,"Jamón de pavo, queso panela a la plancha, huevo cocido, pico de gallo, aguacate y Mayostaza. ","['mexican', 'sandwich', 'jamón', 'pavo', 'queso', 'panela', 'plancha', 'huevo', 'cocido', 'pico', 'gallo', 'aguacate', 'mayostaza']",10,50
4,Gorda (Pieza),De masa blanca o negra,"['gorda', 'pieza', 'masa', 'blanca', 'negra']",1,13
4,Gorda dulce,De masa blanca o negra,"['gorda', 'dulce', 'masa', 'blanca', 'negra']",1,13
1,Panini Regio ,"Arrachera guacamole, mezcla de quesos, cebolla  caramelizada y mayonesa al chipotle ","['panini', 'regio', 'arrachera', 'guacamole', 'mezcla', 'quesos', 'cebolla', 'caramelizada', 'mayonesa', 'chipotle']",10,50
3,Extras,Piezas extra,"['extras', 'piezas', 'extra']",16,21
1,Hamburguesa maoli,"Deliciosa carne de res con la receta almendrada de la casa, mezcla de quesos y champiñones salteados, pepinillos,  tomate, lechuga y aderezo de la casa incluye papas","['hamburguesa', 'maoli', 'deliciosa', 'carne', 'res', 'receta', 'almendrada', 'casa', 'mezcla', 'quesos', 'champiñones', 'salteados', 'pepinillos', 'tomate', 'lechuga', 'aderezo', 'casa', 'incluye', 'papas']",10,50
4,Paquete de 3 sopes,"Elije entre chicharrón, carne deshebrada o molida","['paquete', 'sopes', 'elije', 'chicharrón', 'carne', 'deshebrada', 'molida']",1,13
3,Tosti-ricas,"2 deliciosas piezas de tostadas de la casa acompañadas con frijoles refritos, queso, crema, cebolla, jitomate, aguacate y rico pollo. ","['tostiricas', 'deliciosas', 'piezas', 'tostadas', 'casa', 'acompañadas', 'frijoles', 'refritos', 'queso', 'crema', 'cebolla', 'jitomate', 'aguacate', 'rico', 'pollo']",16,21
1,Boneless,Pechuga de pollo en cubitos bañadas en la salsa que prefieras acompañados con verduras y aderezo. (Incluye papas y bebida),"['boneless', 'pechuga', 'pollo', 'cubitos', 'bañadas', 'salsa', 'prefieras', 'acompañados', 'verduras', 'aderezo', 'incluye', 'papas', 'bebida']",10,50
4,Sopes (Pieza),"De chicharron, carne deshebrada o molida","['sopes', 'pieza', 'chicharron', 'carne', 'deshebrada', 'molida']",1,13
1,Hamburguesa BBQ Bacon,"Riquísima carne de res, mezcla de quesos, lechuga, tomate pepinillos, tocino, salsa bbq y aros de cebolla incluye papas ","['hamburguesa', 'bbq', 'bacon', 'riquísima', 'carne', 'res', 'mezcla', 'quesos', 'lechuga', 'tomate', 'pepinillos', 'tocino', 'salsa', 'bbq', 'aros', 'cebolla', 'incluye', 'papas']",10,50
4,Paquete de 4 panuchos,Con pollo pibil,"['paquete', 'panuchos', 'pollo', 'pibil']",1,13
3,Molletes,"Riquísimos molletes con frijoles, queso manchego y pico de gallo, puedes elegir entre chorizo o tocino para acompañarlos.","['molletes', 'riquísimos', 'molletes', 'frijoles', 'queso', 'manchego', 'pico', 'gallo', 'puedes', 'elegir', 'chorizo', 'tocino', 'acompañarlos']",16,21
1,Alitas,Deliciosas alitas bañadas con salsa de tu elección acompañadas  de verduras y aderezo incluye papas ,"['alitas', 'deliciosas', 'alitas', 'bañadas', 'salsa', 'elección', 'acompañadas', 'verduras', 'aderezo', 'incluye', 'papas']",10,50
3,Enchiladas veracruzanas,"4 piezas de deliciosas enchiladas rellenas de huevo a la mexicana, bañadas con salsa de frijol, acompañadas con queso, crema, chorizo y aguacate.","['enchiladas', 'veracruzanas', 'piezas', 'deliciosas', 'enchiladas', 'rellenas', 'huevo', 'mexicana', 'bañadas', 'salsa', 'frijol', 'acompañadas', 'queso', 'crema', 'chorizo', 'aguacate']",16,21
4,Panuchos (Pieza),Con pollo pibil,"['panuchos', 'pieza', 'pollo', 'pibil']",1,13
1,Hamburguesa tenderlion,"Pechuga de pollo empanizada, bañada con salsa búfalo, mezcla de quesos, tomate, lechuga y aderezo de la casa incluye papas ","['hamburguesa', 'tenderlion', 'pechuga', 'pollo', 'empanizada', 'bañada', 'salsa', 'búfalo', 'mezcla', 'quesos', 'tomate', 'lechuga', 'aderezo', 'casa', 'incluye', 'papas']",10,50
1,Sampler,"Deliciosas Alitas, Boneless, Aros de cebolla, Deditos de queso Poppers, Crisscut con queso ","['sampler', 'deliciosas', 'alitas', 'boneless', 'aros', 'cebolla', 'deditos', 'queso', 'poppers', 'crisscut', 'queso']",10,50
4,Orden de enchiladas,"Orden con refill de hasta 12 enchiladas, elige entre cecina, carne enchilada, milanesa de pollo, chuleta o huevo revuelto.","['orden', 'enchiladas', 'orden', 'refill', 'enchiladas', 'elige', 'cecina', 'carne', 'enchilada', 'milanesa', 'pollo', 'chuleta', 'huevo', 'revuelto']",1,13
1,Ensalada Maoli,"Pollo lemon pepper, lechuga mixta, frituras de maíz col morada, zanahoria, pico de gallo, aguacate, mix de quesos, aderezo ranch spicy ","['ensalada', 'maoli', 'pollo', 'lemon', 'pepper', 'lechuga', 'mixta', 'frituras', 'maíz', 'col', 'morada', 'zanahoria', 'pico', 'gallo', 'aguacate', 'mix', 'quesos', 'aderezo', 'ranch', 'spicy']",10,50
3,Huevos al gusto estilo americano,Todos los huevos al estilo americano incluye una guarnición de deliciosa papa a la mantequilla y pan francés. ,"['huevos', 'gusto', 'estilo', 'americano', 'todos', 'huevos', 'estilo', 'americano', 'incluye', 'guarnición', 'deliciosa', 'papa', 'mantequilla', 'pan', 'francés']",16,21
1,Ensalada Paradise,"Fresa, manzana, queso crema, nuez y cacahuate  caramelizados, mezcla de lechugas y aderezo  raspberry","['ensalada', 'paradise', 'fresa', 'manzana', 'queso', 'crema', 'nuez', 'cacahuate', 'caramelizados', 'mezcla', 'lechugas', 'aderezo', 'raspberry']",10,50
1,Ensalada Búffalo ,"Tender de pollo, mix de lechuga, salsa buffalo, apio tomate, zanahoria, tocino, frituras de maíz y aderezo blue cheese ","['ensalada', 'búffalo', 'tender', 'pollo', 'mix', 'lechuga', 'salsa', 'buffalo', 'apio', 'tomate', 'zanahoria', 'tocino', 'frituras', 'maíz', 'aderezo', 'blue', 'cheese']",10,50
1,Ensalada Tex Mex ,"Arrachera, frijoles, elote, pico de gallo, aguacate,  jalapeño, mix de lechuga y aderezo cilantro ","['ensalada', 'tex', 'mex', 'arrachera', 'frijoles', 'elote', 'pico', 'gallo', 'aguacate', 'jalapeño', 'mix', 'lechuga', 'aderezo', 'cilantro']",10,50
1,Dedos de queso,"Exquisitos dedos de queso empanizados, servidos  con salsa marinara ","['dedos', 'queso', 'exquisitos', 'dedos', 'queso', 'empanizados', 'servidos', 'salsa', 'marinara']",10,50
1,Mac & Cheese,Deliciosos macarrones en salsa de queso con tocino y cebollin,"['mac', 'cheese', 'deliciosos', 'macarrones', 'salsa', 'queso', 'tocino', 'cebollin']",10,50
3,Chilaquiles ,"Deliciosos chilaquiles en salsa roja o verde acompañados de frijoles refritos, crema, queso y cebolla morada.","['chilaquiles', 'deliciosos', 'chilaquiles', 'salsa', 'roja', 'verde', 'acompañados', 'frijoles', 'refritos', 'crema', 'queso', 'cebolla', 'morada']",16,21
1,Papas a la Francesa,Las tradicionales papas a la francesa acompañadas de tu salsa i aderezo favorito ,"['papas', 'francesa', 'tradicionales', 'papas', 'francesa', 'acompañadas', 'salsa', 'aderezo', 'favorito']",10,50
4,Orden de enchiladas para niños,"Orden para niños, incluye 3 piezas sin carne","['orden', 'enchiladas', 'niños', 'orden', 'niños', 'incluye', 'piezas', 'carne']",1,13
1,Aros de Cebolla,"Aros de cebolla fritos, servidos con adrezo da la  casa ","['aros', 'cebolla', 'aros', 'cebolla', 'fritos', 'servidos', 'adrezo', 'casa']",10,50
1,Papas Bañadas,"Crujientes papas a la francesa bañadas en salsa de  queso, salsa bufalo y aderezo ranch ","['papas', 'bañadas', 'crujientes', 'papas', 'francesa', 'bañadas', 'salsa', 'queso', 'salsa', 'bufalo', 'aderezo', 'ranch']",10,50
1,Coca Cola,Refresco,"['coca', 'cola', 'refresco']",10,50
3,Chilaquiles bandera ,"Deliciosos chilaquiles bañados con nuestras dos salsas (verde y roja) con queso, crema, cebolla morada y dos guarniciones a elegir, entre pollo o huevo.","['chilaquiles', 'bandera', 'deliciosos', 'chilaquiles', 'bañados', 'nuestras', 'dos', 'salsas', 'verde', 'roja', 'queso', 'crema', 'cebolla', 'morada', 'dos', 'guarniciones', 'elegir', 'pollo', 'huevo']",16,21
1,Coca Cola Light ,Coca Cola Light ,"['coca', 'cola', 'light', 'coca', 'cola', 'light']",10,50
1,Pepsi ,Pepsi ,"['pepsi', 'pepsi']",10,50
1,Manzanita Sol ,Manzanita Sol ,"['manzanita', 'sol', 'manzanita', 'sol']",10,50
1,Mirinda,Mirinda,"['mirinda', 'mirinda']",10,50
1,Agua Natural,Agua Natural,"['agua', 'natural', 'agua', 'natural']",10,50
1,Agua Jamaica ,Agua Jamaica ,"['agua', 'jamaica', 'agua', 'jamaica']",10,50
4,Paquete de 3 quesadillas de camarón,Quesadillas de masa blanca rellenas de camarón,"['paquete', 'quesadillas', 'camarón', 'quesadillas', 'masa', 'blanca', 'rellenas', 'camarón']",1,13
1,Agua Horchata ,Agua Horchata ,"['agua', 'horchata', 'agua', 'horchata']",10,50
1,Agua Tamarindo ,Agua Tamarindo ,"['agua', 'tamarindo', 'agua', 'tamarindo']",10,50
1,Limonada Natural,Limonada Natural,"['limonada', 'natural', 'limonada', 'natural']",10,50
1,Limonada Mineral,Limonada Mineral,"['limonada', 'mineral', 'limonada', 'mineral']",10,50
1,Limonada con pepino,Limonada con pepino,"['limonada', 'pepino', 'limonada', 'pepino']",10,50
3,Media orden de chilaquiles,"Deliciosos chilaquiles en salsa roja o verde acompañados de frijoles refritos, crema, queso y cebolla morada ","['media', 'orden', 'chilaquiles', 'deliciosos', 'chilaquiles', 'salsa', 'roja', 'verde', 'acompañados', 'frijoles', 'refritos', 'crema', 'queso', 'cebolla', 'morada']",16,21
4,Quesadilla de camarón (Pieza),Quesadillas de masa blanca rellenas de camarón,"['quesadilla', 'camarón', 'pieza', 'quesadillas', 'masa', 'blanca', 'rellenas', 'camarón']",1,13
1,Cerveza Corona,Cerveza Corona,"['cerveza', 'corona', 'cerveza', 'corona']",10,50
1,Cerveza Victoria ,Cerveza Victoria ,"['cerveza', 'victoria', 'cerveza', 'victoria']",10,50
1,Cerveza Modelo ,Cerveza Modelo ,"['cerveza', 'modelo', 'cerveza', 'modelo']",10,50
4,Paquete de 3 quesadillas de rajas poblanas ,Quesadillas de masa blanca rellenas de rajas poblanas,"['paquete', 'quesadillas', 'rajas', 'poblanas', 'quesadillas', 'masa', 'blanca', 'rellenas', 'rajas', 'poblanas']",1,13
1,Cerveza Michelob Ultra,Cerveza Ultra Michelob ,"['cerveza', 'michelob', 'ultra', 'cerveza', 'ultra', 'michelob']",10,50
1,Cerveza Heineken ,Cerveza Heineken ,"['cerveza', 'heineken', 'cerveza', 'heineken']",10,50
1,Cerveza TKT Light ,Cerveza TKT Light ,"['cerveza', 'tkt', 'light', 'cerveza', 'tkt', 'light']",10,50
4,Quesadilla de rajas poblanas (Pieza),Quesadillas de masa blanca rellenas de rajas poblanas,"['quesadilla', 'rajas', 'poblanas', 'pieza', 'quesadillas', 'masa', 'blanca', 'rellenas', 'rajas', 'poblanas']",1,13
1,Cerveza TKT Roja,Cerveza TKT Rojo,"['cerveza', 'tkt', 'roja', 'cerveza', 'tkt', 'rojo']",10,50
3,Club Sándwich ,"Delicioso club sándwich de pollo con lechuga, jamón, queso manchego, jitomate, aguacate, tocino y una deliciosa guarnición de papas gajo","['club', 'sándwich', 'delicioso', 'club', 'sándwich', 'pollo', 'lechuga', 'jamón', 'queso', 'manchego', 'jitomate', 'aguacate', 'tocino', 'deliciosa', 'guarnición', 'papas', 'gajo']",16,21
1,Cerveza XX Lager,Cerveza XX Large ,"['cerveza', 'lager', 'cerveza', 'large']",10,50
1,Café Espresso ,Cafe Expresso ,"['café', 'espresso', 'cafe', 'expresso']",10,50
3,Sopa de fideo chica ,Sopa de fideo,"['sopa', 'fideo', 'chica', 'sopa', 'fideo']",16,21
4,Paquete de 3 quesadillas de champiñones,Quesadillas de masa blanca rellenas de champiñones,"['paquete', 'quesadillas', 'champiñones', 'quesadillas', 'masa', 'blanca', 'rellenas', 'champiñones']",1,13
1,Café Americano (Refill),Cafe Americano (Refil),"['café', 'americano', 'refill', 'cafe', 'americano', 'refil']",10,50
3,Caldo tlalpeño chico ,Caldo tlalpeño,"['caldo', 'tlalpeño', 'chico', 'caldo', 'tlalpeño']",16,21
1,Café Capuchino,Cafe Capuchino,"['café', 'capuchino', 'cafe', 'capuchino']",10,50
4,Quesadilla de champiñones (pieza),Quesadillas de masa blanca rellenas de champiñones,"['quesadilla', 'champiñones', 'pieza', 'quesadillas', 'masa', 'blanca', 'rellenas', 'champiñones']",1,13
3,Sopa de tortilla chica ,Deliciosa sopa de tortilla,"['sopa', 'tortilla', 'chica', 'deliciosa', 'sopa', 'tortilla']",16,21
3,Caldo tlalpeño grande ,Caldo tlalpeño grande ,"['caldo', 'tlalpeño', 'grande', 'caldo', 'tlalpeño', 'grande']",16,21
3,Sopa de tortilla grande ,Sopa de tortilla grande ,"['sopa', 'tortilla', 'grande', 'sopa', 'tortilla', 'grande']",16,21
3,Hamburguesa de res ,Deliciosa hamburguesa de res acompañada de papas gajo,"['hamburguesa', 'res', 'deliciosa', 'hamburguesa', 'res', 'acompañada', 'papas', 'gajo']",16,21
4,Paquete de 3 bocoles,"De masa blanca, rellenas del guiso de tu elección: chicharrón, chorizo, deshebrada, frijoles con queso, carne molida, huevo en salsa roja o verde","['paquete', 'bocoles', 'masa', 'blanca', 'rellenas', 'guiso', 'elección', 'chicharrón', 'chorizo', 'deshebrada', 'frijoles', 'queso', 'carne', 'molida', 'huevo', 'salsa', 'roja', 'verde']",1,13
3,Enchiladas suizas,Cuatro enchiladas suizas bañadas de una salsa verde cremosa (no picosa) cubiertas de queso derretido,"['enchiladas', 'suizas', 'cuatro', 'enchiladas', 'suizas', 'bañadas', 'salsa', 'verde', 'cremosa', 'picosa', 'cubiertas', 'queso', 'derretido']",16,21
3,Flautas,"Cuatro deliciosas flautas,  acompañadas con guacamole ","['flautas', 'cuatro', 'deliciosas', 'flautas', 'acompañadas', 'guacamole']",16,21
4,Bocoles (Pieza),"De masa blanca, rellenas del guiso de tu elección: chicharrón, chorizo, deshebrada, frijoles con queso, carne molida, huevo en salsa roja o verde","['bocoles', 'pieza', 'masa', 'blanca', 'rellenas', 'guiso', 'elección', 'chicharrón', 'chorizo', 'deshebrada', 'frijoles', 'queso', 'carne', 'molida', 'huevo', 'salsa', 'roja', 'verde']",1,13
3,Res a la plancha,"Res a la plancha acompañada de dos guarniciones a elegir: Puré de papa, verduras al vapor salteadas con mantequilla, arroz, spaguetti o frijoles refritos.","['res', 'plancha', 'res', 'plancha', 'acompañada', 'dos', 'guarniciones', 'elegir', 'puré', 'papa', 'verduras', 'vapor', 'salteadas', 'mantequilla', 'arroz', 'spaguetti', 'frijoles', 'refritos']",16,21
3,Res a la parrilla ,"Res a la parrilla acompañada de dos guarniciones a elegir: Puré de papa, verduras al vapor salteadas con mantequilla, arroz, spaguetti o frijoles refritos.","['res', 'parrilla', 'res', 'parrilla', 'acompañada', 'dos', 'guarniciones', 'elegir', 'puré', 'papa', 'verduras', 'vapor', 'salteadas', 'mantequilla', 'arroz', 'spaguetti', 'frijoles', 'refritos']",16,21
4,Paquete de 4 empanadas,"De masa blanca, rellenas del guiso de tu elección: Queso, chicharrón, chorizo o carne molida ","['paquete', 'empanadas', 'masa', 'blanca', 'rellenas', 'guiso', 'elección', 'queso', 'chicharrón', 'chorizo', 'carne', 'molida']",1,13
3,Res empanizada,"Res empanizada acompañada de dos guarniciones a elegir: Puré de papa, verduras al vapor salteadas con mantequilla, arroz, spaguetti o frijoles refritos.","['res', 'empanizada', 'res', 'empanizada', 'acompañada', 'dos', 'guarniciones', 'elegir', 'puré', 'papa', 'verduras', 'vapor', 'salteadas', 'mantequilla', 'arroz', 'spaguetti', 'frijoles', 'refritos']",16,21
4,Empanadas (Pieza),"De masa blanca, rellenas del guiso de tu elección: Queso, chicharrón, chorizo o carne molida ","['empanadas', 'pieza', 'masa', 'blanca', 'rellenas', 'guiso', 'elección', 'queso', 'chicharrón', 'chorizo', 'carne', 'molida']",1,13
3,Res a la plancha con chilaquiles,"Res a la plancha con chilaquiles acompañada de dos guarniciones a elegir: Puré de papa, verduras al vapor salteadas con mantequilla, arroz, spaguetti o frijoles refritos.","['res', 'plancha', 'chilaquiles', 'res', 'plancha', 'chilaquiles', 'acompañada', 'dos', 'guarniciones', 'elegir', 'puré', 'papa', 'verduras', 'vapor', 'salteadas', 'mantequilla', 'arroz', 'spaguetti', 'frijoles', 'refritos']",16,21
4,Paquete de 3 picadas,"De masa blanca, puedes agregar huevo revuelto o chorizo ","['paquete', 'picadas', 'masa', 'blanca', 'puedes', 'agregar', 'huevo', 'revuelto', 'chorizo']",1,13
3,Pechuga a la plancha ,"Pechuga a la plancha acompañada de dos guarniciones a elegir: Puré de papa, verduras al vapor salteadas con mantequilla, arroz, spaguetti o frijoles refritos.","['pechuga', 'plancha', 'pechuga', 'plancha', 'acompañada', 'dos', 'guarniciones', 'elegir', 'puré', 'papa', 'verduras', 'vapor', 'salteadas', 'mantequilla', 'arroz', 'spaguetti', 'frijoles', 'refritos']",16,21
3,Pechuga a la parrilla ,"Pechuga a la parrilla acompañada de dos guarniciones a elegir: Puré de papa, verduras al vapor salteadas con mantequilla, arroz, spaguetti o frijoles refritos.","['pechuga', 'parrilla', 'pechuga', 'parrilla', 'acompañada', 'dos', 'guarniciones', 'elegir', 'puré', 'papa', 'verduras', 'vapor', 'salteadas', 'mantequilla', 'arroz', 'spaguetti', 'frijoles', 'refritos']",16,21
4,Picadas (pieza),"De masa blanca, puedes agregar huevo revuelto o chorizo ","['picadas', 'pieza', 'masa', 'blanca', 'puedes', 'agregar', 'huevo', 'revuelto', 'chorizo']",1,13
4,Memelas,De masa blanca con queso gratinado y cecina o carne enchilada,"['memelas', 'masa', 'blanca', 'queso', 'gratinado', 'cecina', 'carne', 'enchilada']",1,13
3,Pechuga empanizada,"Pegucha empanizada acompañada de dos guarniciones a elegir: Puré de papa, verduras al vapor salteadas con mantequilla, arroz, spaguetti o frijoles refritos.","['pechuga', 'empanizada', 'pegucha', 'empanizada', 'acompañada', 'dos', 'guarniciones', 'elegir', 'puré', 'papa', 'verduras', 'vapor', 'salteadas', 'mantequilla', 'arroz', 'spaguetti', 'frijoles', 'refritos']",16,21
4,Tamal de cerdo,Delicioso tamal huasteco relleno de carne de cerdo,"['tamal', 'cerdo', 'delicioso', 'tamal', 'huasteco', 'relleno', 'carne', 'cerdo']",1,13
3,Pechuga rellena,"Pechuga rellena acompañada de dos guarniciones a elegir: Puré de papa, verduras al vapor salteadas con mantequilla, arroz, spaguetti o frijoles refritos.","['pechuga', 'rellena', 'pechuga', 'rellena', 'acompañada', 'dos', 'guarniciones', 'elegir', 'puré', 'papa', 'verduras', 'vapor', 'salteadas', 'mantequilla', 'arroz', 'spaguetti', 'frijoles', 'refritos']",16,21
4,Tamal de pollo,Delicioso tamal huasteco relleno de carne de pollo,"['tamal', 'pollo', 'delicioso', 'tamal', 'huasteco', 'relleno', 'carne', 'pollo']",1,13
3,Suprema de pollo con chilaquiles ,"Suprema de pollo acompañada de dos guarniciones a elegir: Puré de papa, verduras al vapor salteadas con mantequilla, arroz, spaguetti o frijoles refritos.","['suprema', 'pollo', 'chilaquiles', 'suprema', 'pollo', 'acompañada', 'dos', 'guarniciones', 'elegir', 'puré', 'papa', 'verduras', 'vapor', 'salteadas', 'mantequilla', 'arroz', 'spaguetti', 'frijoles', 'refritos']",16,21
4,Estrujadas,"De masa blanca, acompañadas de frijoles y cecina o carne enchilada","['estrujadas', 'masa', 'blanca', 'acompañadas', 'frijoles', 'cecina', 'carne', 'enchilada']",1,13
2,Concha,Concha ,"['concha', 'concha']",21,8
2,Muffin de Chocolate ,Muffin de Chocolate ,"['muffin', 'chocolate', 'muffin', 'chocolate']",21,8
2,Muffin de Queso,Muffin de Queso,"['muffin', 'queso', 'muffin', 'queso']",21,8
2,Muffin de Plátano,Muffin de Plátano,"['muffin', 'plátano', 'muffin', 'plátano']",21,8
2,Tomate ,Tomate,"['tomate', 'tomate']",21,8
2,Chocolatin,Chocolatin,"['chocolatin', 'chocolatin']",21,8
2,Pan de Elote ,Pan de Elote ,"['pan', 'elote', 'pan', 'elote']",21,8
2,Bisquet,Bisquet,"['bisquet', 'bisquet']",21,8
2,Bisquet Integral,Bisquet Integral,"['bisquet', 'integral', 'bisquet', 'integral']",21,8
2,Dona,Dona,"['dona', 'dona']",21,8
2,Brioche ,Brioche ,"['brioche', 'brioche']",21,8
2,Pan de caja ,Pan de caja ,"['pan', 'caja', 'pan', 'caja']",21,8
2,Panini,Panini,"['panini', 'panini']",21,8
2,Tarta de plátano,Tarta de plátano,"['tarta', 'plátano', 'tarta', 'plátano']",21,8
2,Milky Way,Milky Way,"['milky', 'way', 'milky', 'way']",21,8
2,Cheesecake fresa,Cheesecake fresa,"['cheesecake', 'fresa', 'cheesecake', 'fresa']",21,8
2,Cheesecake Tortuga,Cheesecake Tortuga,"['cheesecake', 'tortuga', 'cheesecake', 'tortuga']",21,8
2,Pay de Nuez,Pay de Nuez,"['pay', 'nuez', 'pay', 'nuez']",21,8
2,Tarta Frutos Rojos,Tarta Frutos Rojos,"['tarta', 'frutos', 'rojos', 'tarta', 'frutos', 'rojos']",21,8
2,Cheesecake fresa,Cheesecake fresa,"['cheesecake', 'fresa', 'cheesecake', 'fresa']",21,8
2,Cheesecake Tortuga,Cheesecake Tortuga,"['cheesecake', 'tortuga', 'cheesecake', 'tortuga']",21,8
2,Doble Chocolate ,Doble Chocolate ,"['doble', 'chocolate', 'doble', 'chocolate']",21,8
2,Tres Leches Cajeta ,Tres Leches Cajeta ,"['tres', 'leches', 'cajeta', 'tres', 'leches', 'cajeta']",21,8
2,Pay de Nuez,Pay de Nuez,"['pay', 'nuez', 'pay', 'nuez']",21,8
2,Pay de Pistache ,Pay de Pistache ,"['pay', 'pistache', 'pay', 'pistache']",21,8
2,Pay de Guayaba ,Pay de Guayaba ,"['pay', 'guayaba', 'pay', 'guayaba']",21,8
2,Hamburguesa de Res,Hamburguesa de Res,"['hamburguesa', 'res', 'hamburguesa', 'res']",21,8
