EstablishmentId,RestaurantName,Latitude,Longitude
68,Koto Linda Vista,25.68726734860906,-100.2675712108612
69,La Palapa Beer & Drink's,25.6668695,-100.283522
70,KAIA,25.6975005,-100.3796768
71,Tacotote,25.6722871,-100.3675237
72,El Semillerito Restaurante ,25.6722272,-100.3254185
73,The Chingona Paleta ,25.6867454,-100.3765813
74,Mariscos Don Vargas ,25.6578751,-100.3529411
75,Botanero Cuchil,25.6413945,-100.2807553
76,La Capital Cantina & Pub,25.6517306,-100.265047
77,Suez,25.66842919999999,-100.3320405
78,On Bun,25.6452451,-100.3613173
79,AtmÃ³sfera Saludable Cumbres,25.706534,-100.3707122
80,Beer Saloon ,25.6701879,-100.3082816
81,Sr. Bigotes San Pedro,25.6645386,-100.4015062
82,Sr. Bigotes Cumbres,25.73901149999999,-100.4071674
83,Eddy's Burgers,25.6580224,-100.3661699
84,La Casa del Panque ,25.6702331,-100.3046475
85,MaÃ±aÃ±eros,25.6452723,-100.3612926
86,La Casona Comida Caseras ,25.6452451,-100.3613173
87,Las Bonitas Gorditas ,25.6450393,-100.3612063
88,Amorandu PostrerÃ­a ,25.6943135,-100.3574918
89,Parrilla Local ,25.6588584,-100.352848
90,La Gran Muralla Express,25.6580075,-100.3660499
91,Burgers Perronas,25.66046279999999,-100.4101345
92,Stomper Hells Kitchen and Bar,25.6675874,-100.3045062
93,Meri Ggiare,25.6623396,-100.3822504
94,Poke si ,25.6590085,-100.3556651
95,The View Bar ,25.6590085,-100.3556651
96,GalerÃ­a Ciocco Cakes ,25.6689845,-100.3299266
97,DFish House ,25.6479419,-100.3253862
98,Hustler Pizza,25.7009094,-100.3701494
99,Rocket Pizza Co. ,25.6175112,-100.278095
100,Kikirimu ,25.6476376,-100.3605543
101,Mila,25.6591313,-100.3621364
102,Davila's Express,25.6598865,-100.3656457
103,Red Spot,25.6602578,-100.367488
104,Bagel y Beigel ,25.6592948,-100.3627286
105,5 cinco,25.6839699,-100.2421161
106,Thai Thai Valle,25.6598895,-100.368211
107,Nueva Delhi,25.7035501,-100.3711716
108,Pinche's Pollos ,25.6340003,-100.2721499
109,Curry Sultan,25.6631049,-100.4033402
110,Los Jemos,25.6797245,-100.3702097
111,Meriggiare,25.6623396,-100.3822504
112,Roy's Burgers,25.6591971,-100.3628479
113,CafÃ© YasÃ­n OrgÃ¡nico,25.6509274,-100.3733225
114,Los capa taquerÃ­a,25.6450047,-100.361016
115,Poke Pokes Sushi Bowls,25.6452451,-100.3613173
116,Bistro burger and shake bar,25.6472632,-100.35979
117,El Mazatlan,25.6693659,-100.4024568
118,Capital Brother ,25.7134302,-100.2570956
119,The Lunch Market,25.716879,-100.3830951
120,Chilaquiles Mx / La SalteÃ±a Empanadas Argentinas,25.6579465,-100.4117048
121,Texas Smokeyard Barbecue Las Brisas,25.6227278,-100.2810079
122,Texas Smokeyard Barbecue Cumbres,25.7251868,-100.3946111
123,Texas Smokeyard Barbecue San Agustin,25.6529133,-100.3380086
124,Texas Smokeyard Barbecue Las Puentes,25.7379794,-100.2728717
125,Las Quekas ,25.6664673,-100.3075661
126,Montejo Home Grill,25.6490248,-100.3387817
127,Pachamama Elotes,25.65970669999999,-100.3673203
128,Las Piczas,25.6601221,-100.3677997
129,La Central ,25.6528499,-100.3525048
130,Napoli Pizza Colinas,25.6932339,-100.3779766
131,Napoli Pizza Miravalle ,25.6770455,-100.3541447
132,Las Hechizadas,25.6209364,-100.2861328
133,Casa Gardenia ,25.6837739,-100.3725997
134,J&J Burger Crew Lincoln,25.709976586686352,-100.35633623600006
135,Pinche's Takos,25.6340003,-100.2721499
136,La Guarida ,25.6517855,-100.2650513
137,La Cantintan,25.6476376,-100.3605543
138,Elotes Los Fernandez,25.663984,-100.2901426
139,Helados Bahama,25.7382819,-100.4046355
140,Crepas Vuala,25.7382819,-100.4046355
141,La Rencorosa,25.6880859,-100.3444027
142,Gourmet Paletas Morelia ,25.6530507,-100.3411574
143,Arrecife Mx 14,25.65264,-100.29986
144,Brondy BBQ,25.6551416,-100.2830509
145,Chill Aquil,25.7026459,-100.3423104
146,Carnitas del Valle,25.6518642,-100.3380353
147,The OG Burger,25.7274213,-100.2924993
148,The Smashed Ones,25.6496991,-100.2867871
149,Vertiente CafÃ© y Bistro,25.6771769,-100.2899479
150,La Orden 66,25.6801577,-100.3656153
151,BÃ©same Morenita ,25.6660836,-100.379991
152,Tapa,25.6581164,-100.4398952
153,Captain Charlie Seafood Market & Kitchen,25.6587439,-100.3528539
154,Black Honey Cafe,25.6941693,-100.3543219
155,Foodster Cumbres del Sol,25.75087749999999,-100.4298962
156,French Coffee Room ,25.7049643,-100.3661991
157,Hare krishna,25.6656399,-100.3074952
158,Joicy Urban Food,25.6224602,-100.2804952
159,The 90Â´s Restaurante,19.3482035,-99.2052238
160,Son - Dogos,25.64976,-100.2868967
161,El Rinconcito Fundidora,25.6773122,-100.2926977
162,LadyÂ´s BBQ VÃ­a la Luz,25.5979975,-100.2550044
163,LadyÂ´s BBQ Mitras,25.6875859,-100.3400016
164,LadyÂ´s BBQ Arboleda,25.6492639,-100.3552494
165,Chick Â´N Feast,25.6563288,-100.3685097
166,Habitual Comedor,25.6560028,-100.38655
167,We Love Burgers Auriga,25.648599,-100.3391913
168,We Love Burgers Armida,25.6457746,-100.3221899
169,La Boverie Waffleria,25.6747345,-100.3078748
170,Woki Tokee Centrito,25.6580181,-100.3660283
171,Foodster Valle Infonavit,25.7284854,-100.3896736
172,Woki Tokee San AgustÃ­n,25.6493611,-100.3375028
173,J&J Burger Crew Mitras,25.6936194,-100.3423688
174,Tempo Coffee House Calzada,25.658918,-100.3773859
175,Tempo Coffee House Via Cordillera,25.6573181,-100.4389381
176,Test,35.6328964,139.8803943
177,Reina Comfort Food+Cafe,25.6542318,-100.3625318
178,Don Pimbo,25.6664901,-100.3073681
179,Texas Smokeyard Barbecue Av. Republica Mexicana,25.7588322,-100.2758529
180,CafÃ© Olivo Mx,25.6613597,-100.4517009
181,Coopers Burgers,25.6939945,-100.3820826
182,La Consentida,25.5757907,-100.2435398
183,La Lucha Rosticeria,25.6771972,-100.343314
184,Luna Rossa,25.6679844,-100.3524862
185,SilviaÂ´s Cake Shop Contry,25.644147,-100.2747795
186,SilviaÂ´s Cake Shop San JerÃ³nimo,25.6827081,-100.362268
187,Tacos Don Pedro La Florida,25.6567526,-100.2932264
188,Tacos Don Pedro Cordillera,25.7395062,-100.2789779
189,Tacos Don Pedro Central,25.7403755,-100.3019935
190,Tacos Don Pedro San Nicolas,25.7486897,-100.2999732
191,Tacos Don Pedro Cumbres,25.7175306,-100.3845505
192,Back to the Bit,25.6341159,-100.2825582
193,Jun CafÃ©s de MÃ©xico TecnolÃ³gico,25.6552205,-100.2916888
194,Jun CafÃ©s de MÃ©xico Metro,25.689265130832855,-100.3175444202898
195,Jun CafÃ©s de MÃ©xico Rufino Tamayo,25.644294190675975,-100.32739953150742
196,Liberato Eatery,25.6610372,-100.3679742
197,Pokeviche,25.6267901,-100.304745
198,Sera el Sereno Pueblo Serena,25.5750282,-100.2486588
199,SerÃ¡ el Sereno Arboleda,25.6488922,-100.3552781
200,Tomata Barra Saludable,25.6592307,-100.3605401
201,Via Ditalia Satelite,25.6036381,-100.2744067
202,Via Ditalia Vista Hermosa,25.6908651,-100.3558656
203,Bolerama Tec,25.653271,-100.2946373
204,Bolerama Paseo la Fe,25.7197667,-100.2205444
205,Sushi Balls Tec,25.64577302018142,-100.29411971569061
206,El CallejÃ³n de Hot Dog,25.7542217,-100.4147217
207,Brera Coffee Shop ,25.6819879,-100.3458881
208,The Oven Pizzatto Auriga,25.648598,-100.3391778
209,Maison Croque Bistro,25.6525941,-100.3387563
210,La Embajada,25.6504303,-100.3386309
211,Vasto,25.6489816,-100.3353875
212,Calle 7,25.6510855,-100.3348789
213,La Reynita,25.6512046,-100.3345544
214,The Oven Pizzatto Cordillera,25.6581563,-100.4401613
215,Richie Rich,25.6596305,-100.3561638
216,Buffalo Pizza Tec,25.649912,-100.2942465
217,El Tostadon,25.6385206,-100.3142234
218,MamÃ¡ Carlota,25.69139509999999,-100.3778211
219,Mr. Boba,25.645847,-100.2940189
220,Bandidos del Norte,25.6436391,-100.2871378
221,Drew Coffee House,25.6871616,-100.3521594
222,Aromali Tokyo CafÃ©,25.644965,-100.3238729
223,El MalecÃ³n del Regio,25.6759383,-100.3555011
224,Pizzalien,25.6446241,-100.2886853
225,Babalao,25.6175373,-100.278224
226,Las Paellas de FermÃ­n,25.6508222,-100.3733632
227,AtmÃ³sfera Saludable TecnolÃ³gico,25.6488397,-100.2884825
228,El Rey del Paste,25.6505149,-100.2923753
229,Rico Panecito RevoluciÃ³n,25.6473931,-100.2743942
230,Rico Panecito Fundidora,25.679302,-100.291518
231,El TriÃ¡ngulo 77,25.6621578,-100.2951569
232,LuÂ´ um Coffee Shop,25.6761223,-100.3248279
233,Che Pebeta,25.5749816,-100.2489997
234,Comal de Amelia,25.6799571,-100.3421983
235,Cocina Habibi San Pedro,25.65778019999999,-100.3891751
236,Cocina Habibi San JerÃ³nimo,25.6797235,-100.3702097
237,The Wrap Co. and Coffee,25.6588927,-100.3657992
238,ENIGMA,14.058324,108.277199
239,Wilbertss Coffee,25.6660843,-100.4023293
240,John Ham's Antia,25.5160093,-100.2005217
241,John Ham's Fashion Drive,25.6511095,-100.3348287
242,John Ham's Galerias Monterrey,25.680381,-100.3564579
243,John Ham's Valle Oriente,25.6385003,-100.31545
244,John Ham's Cumbres,25.7391299,-100.4057526
245,John Ham's Citadel,25.7258561,-100.216174
246,John Ham's Almenares,25.7686888,-100.2770495
247,John Ham's Concordia,25.7847771,-100.2355191
248,John Ham's Citadina,25.7930935,-100.3299702
249,Racing Reality,25.6501858,-100.3333879
250,La Papizza Factory,25.6413945,-100.2807553
251,The Crawfish Co,25.6510382,-100.2660179
252,Reverie PastelerÃ­a Francesa,25.659973,-100.3699147
253,Pizza Veloce,25.6578318,-100.3621703
254,Bikemarket,25.658581,-100.362338
255,Don MachetÃ³n,25.6964924,-100.3816687
256,Black Sugar San Agustin,25.6522182,-100.3377284
257,Cofki Kid-Friendly CafÃ©,25.6387827,-100.3613566
258,CafÃ© Caney,25.6593631,-100.3647468
259,Dixie Metropolitan,25.6505666,-100.3331016
260,Le Creepe & Le Cream Fashion Drive,25.6512761,-100.3351626
261,Karnes en su Jugo,25.6577075,-100.3574364
262,Black Sugar Fashion Drive,25.6493611,-100.3375028
263,Buffalo Pizza Fashion Drive ,25.6512761,-100.3351626
264,One Padel,-12.0861177,-76.9730606
265,Oriental Grill Chipinque,25.6280981,-100.3643453
266,Oriental Grill Park Point,25.7388816,-100.40465
267,Oriental Grill Pueblo Serena,25.57488519999999,-100.2486232
268,Oriental Grill San Jeronimo,25.6746242,-100.3648214
269,Oriental Wok Galerias Mty,25.6811539,-100.3549775
270,Oriental Wok GÃ³mez MorÃ­n,25.6468638,-100.3588991
271,Oriental Wok Linda Vista,25.6938018,-100.2422256
272,Oriental Wok Micropolis,25.6339214,-100.2823168
273,Oriental Wok Plaza Cumbres,25.7315444,-100.3954086
274,Oriental Wok Cumbres,25.7042065,-100.3684765
275,Oriental Wok SatÃ©lite,25.6081892,-100.2688801
276,Oriental Wok Valle Oriente,25.6384433,-100.3155009
277,Oriental Wok Anahuac,25.73768279999999,-100.3146751
278,Oriental Wok Escobedo,25.7933293,-100.3301207
279,Oriental Wok Concordia,25.7847464,-100.2351587
280,Oriental Wok Santa Catarina,25.6767287,-100.4481953
281,Oriental Wok Molinete,25.6616011,-100.1502197
282,Oriental Wok Nave 01,25.7531189,-100.19696
283,Oriental Wok Paseo la Fe,25.7196031,-100.2202808
284,Neo Rockn Haus,25.6885279,-100.376987
285,El Salerito,25.6795865,-100.3059595
286,Kaelum Coffee,25.6488283,-100.2884307
287,Umai Taiyaki,25.6790171,-100.3309614
288,Ichigo ReposterÃ­a,25.6498256,-100.2867552
289,QueserÃ­a ozuluama Garza Sada ,25.6370261,-100.2854982
290,QueserÃ­a ozuluama Apodaca ,25.7532234,-100.1966934
291,QueserÃ­a Ozuluama Citadina Escobedo ,25.7932519,-100.3306693
292,Buffalo Pizza Anahuac,25.74319879999999,-100.3132496
293,Gong Cha Via Cordillera,25.6583489,-100.4391879
294,Gong Cha Plaza omnia,25.5579348,-100.233916
295,La FundaciÃ³n 1596,25.5677144,-100.2355221
296,Dixie Vasconcelos,25.6589226,-100.3923969
297,Tacos Four ,25.6589226,-100.3923969
298,Cravings lab ,25.6475315,-100.2903703
299,Caramel Coffee,25.6722605,-100.3485395
300,Le Creepe & Le Cream Avanta Gardens,25.65778019999999,-100.3891751
301,Hidrocali2,25.6748051,-100.3506641
302,La Cochera del Zurdo,25.6741545,-100.3415563
303,Munchie's Lab,25.6578242,-100.3621731
304,Mr. Smashie,25.6578318,-100.3621703
305,Mrs. Nashie,25.6578318,-100.3621703
306,Ice & Frut ,25.6533767,-100.2765402
307,Taco Terraza ,25.6869527,-100.3759438
308,C de comida ,46.8758656,8.6561586
309,Chips & Chips,25.6531475,-100.3792932
310,Chicken Choice ,25.6564904,-100.2971107
311,Casagrande,25.6539234,-100.3819316
312,Casa G Botanero ,25.65534599999999,-100.3619129
313,The Point ,25.6893546,-100.3770296
314,Loffee Coffee Shop ,25.698059967662733,-100.34109781242543
315,Douma Coffee,25.6530507,-100.3411574
316,Ana lia cafÃ©,25.6691207,-100.2818754
317,Las Boludas Fundadores,25.6370303,-100.3117171
318,Las Boludas Las Villas ,25.6084478,-100.2690701
319,Las Boludas Santa Lucia ,25.6728885,-100.2995419
320,Las Boludas La Herradura ,25.5600819,-100.2309859
321,Las Boludas Plaza Loreto,25.6568419,-100.262729
322,Cassava Roots ,25.6605919,-100.3732496
323,Tacos Lara,25.6949207,-100.35862
324,Tea & Masala ,25.6527022,-100.2763349
325,El MaracuyÃ¡ ,4.645345799999999,-74.1001899
326,Peace & Love Plaza Regia ,25.63690609999999,-100.2848821
327,Peace & Love Gomez MorÃ­n ,25.64784879999999,-100.3590121
328,Palapa Regia ,25.6491063,-100.2940678
329,Forno Fratelli,25.6613785,-100.2587986
330,Leobardo,25.6829338,-100.3451735
331,Mood Coffee,25.6614187,-100.4007385
332,Mala Kaffe,25.6491206,-100.2940882
333,Tiki Elotes ,25.6398315,-100.2727089
334,Clubers VIP,31.33949900000001,121.221638
335,Mariscos El Malecho ,25.6378396,-100.2734645
336,Menos Celsius ,25.6566445,-100.360213
337,Pez con anteojos ,25.69477419999999,-100.3585155
338,Strikers Sports Joint,25.6370825,-100.2841623
339,Koben cocina tradicional,25.6517855,-100.2650513
340,Creamio Sweet & Healthy Mitras ,25.6731326,-100.3388101
341,Creamio Sweet & Healthy Obispado,25.673172,-100.3388018
342,El SeÃ±or LimÃ³n,25.6529251,-100.2942274
343,Clubers x Buddies,1.295462,103.8387538
344,Padel Pickle GM,25.6583391,-100.2848044
345,Casa Herm,25.6559217,-100.361867
346,Frites Artois,25.6484955,-100.3371767
347,Napoli Pizza Contry,25.6415337,-100.2800473
348,Te quiero un churro,25.6604607,-100.3648319
349,Kebabes By Lahm Valle,25.6595851,-100.3665341
350,Kebabes By Lahm VÃ­a Cordillera,25.6581447,-100.4403169
351,Kebabes By Lahm Tec,25.6497381,-100.2943039
352,GingerÂ´s burger,25.6589763,-100.3624901
353,MXX Snack Bar,25.6517287,-100.2652912
354,BungalÃ³,25.6698077,-100.3688214
355,More Skin Center,25.66686949999999,-100.283522
356,AB SPA,25.6435962,-100.2756111
357,Azul ,25.6578318,-100.3621703
358,Casa Aura,25.6459074,-100.2677617
359,Mr. Elote,25.6398755,-100.2846154
360,Vitabox,25.6599505,-100.254913
361,Lila CafÃ© & MÃºsica,25.6473476,-100.2902939
362,Buffalo Hot Wings,25.6483872,-100.3251366
363,Tosta Sur,25.6436222,-100.2767236
364,Martins Valle,25.664191,-100.382056
365,Martins Garza Sada,25.6372158,-100.2839897
366,Martins Universidad,25.7459735,-100.3008993
367,Martins Lincoln,25.7146174,-100.3494985
368,BustaÂ´s BBQ,25.6475249,-100.3603833
369,MR. SAUCE,25.7764065,-100.2915353
370,Helados SultÃ¡n,25.6993419,-100.2111652
371,Body Lite Spa,25.6563725,-100.2987776
372,Flamante Cocina y Asadero,25.6266364,-100.2735222
373,Oriental Wok Patio Lincoln,25.7630526,-100.4094885
374,Wordos Burger,25.6789527,-100.3309796
